Item Name,Description,Unit Price (USD),Unit
Hotel Bed Linen Set,"King size cotton bed linen set, 400TC",45.00,Set
Pillow Cases,"Standard pillow cases, white cotton, pair",12.00,Pair
Bath Towels,"Premium hotel bath towel, 600gsm",8.50,Piece
Hand Towels,"Hotel hand towel, white, 400gsm",4.50,Piece
Face Towels,"Hotel face towel, white, 400gsm",3.00,Piece
Bath Mat,"Hotel bath mat, non-slip, 50x80cm",6.00,Piece
Duvet Inner,"King size hotel duvet, 250gsm filling",35.00,Piece
Pillow,"Standard hotel pillow, microfiber",10.00,Piece
Mattress Protector,"Waterproof mattress protector, King",22.00,Piece
Room Service Tray,"Stainless steel room service tray",18.00,Piece
Coffee Cup & Saucer,"Porcelain hotel coffee cup with saucer",5.50,Piece
Tea Pot,"Hotel ceramic tea pot, 400ml",12.00,Piece
Water Jug,"Glass water jug with lid, 1L",9.00,Piece
Soap Dispenser,"Wall mounted soap dispenser, 300ml",14.00,Piece
Shower Cap,"Hotel disposable shower caps, box of 100",8.00,Box
Amenities Kit,"Hotel amenities set: shampoo, soap, conditioner",3.50,Set
Hangers,"Wooden hotel coat hanger",2.50,Piece
Laundry Bag,"Hotel cotton laundry bag with drawstring",1.80,Piece
Do Not Disturb Sign,"Hotel door sign, double sided",1.50,Piece
Room Directory,"Leather bound hotel room directory",12.00,Piece
